DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.144554	14	4	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.144607	14	4	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.144804	14	4	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.144839	14	4	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.145054	14	5	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.145071	14	5	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.145304	14	5	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.145554	14	5	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.145571	14	5	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.145804	14	5	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.145839	14	5	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.146054	14	6	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.146107	14	6	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.146304	14	6	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.146339	14	6	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.146554	14	6	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.146571	14	6	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.146804	14	6	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.147054	14	7	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.147071	14	7	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.147304	14	7	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.147339	14	7	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.147554	14	7	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.147607	14	7	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.147804	14	7	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.147839	14	7	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.148054	14	8	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.148071	14	8	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.148304	14	8	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.148554	14	8	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.148571	14	8	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.148804	14	8	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.148839	14	8	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.149054	14	9	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.149107	14	9	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.149304	14	9	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.149339	14	9	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.149554	14	9	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.149571	14	9	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.149804	14	9	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.150054	15	0	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.150071	15	0	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.150304	15	0	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.150339	15	0	1	3	2	1	1	0	4205	28	0	256.54 	0	0
